,,,,,,,,,,,,,,,,,,
,Total Passengers Data,,,,,,,,,,,,,,,,,
,,,,,,Year,,,,,,,,,,,,
,No.,Authorities,Region,IATA,Airport,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Ranked  ,,
,1,AOT,BKK,SVB,Don Mueang International Airport,"47,800,585","52,368,712","50,900,697","46,497,257","52,384,217","55,473,021","59,079,550","62,814,654","63,815,117","30,750,332",1,,
,2,AOT,,DMK,Don Mueang International Airport,"3,972,876","2,717,413","15,562,753","19,349,941","28,589,312","35,203,757","37,182,981","40,563,727","41,010,745","22,250,720",2,"  53,001,052 ",BKK
,3,AOT,North,CNX,Chiang Mai International Airport,"3,680,390","4,334,608","5,172,742","6,213,463","8,069,918","9,446,320","9,973,441","10,808,866","11,332,964","6,271,652",4,,
,4,AOT,,CEI,Mae Fah Luang Chiang Rai International Airport,"805,842","  926,323 ","1,053,863","1,291,708","1,640,332","2,060,167","2,385,232","2,804,700","2,854,441","1,795,794",6,,
,5,DCA,,PHS,Phitsanulok ,"  205,056 ","  214,698 ","242,292","475,587","549,951","492,128","599,321","677,282","690,094","373,236",14,,
,6,DCA,,NAN,Nan,"  33,885 ","  58,536 ","82,079","114,088","349,266","376,436","349,814","428,202","382,352","312,574",15,,
,7,DCA,,LPT,Lampang,"  22,343 ","  55,958 ","77,848","120,592","261,428","290,420","280,062","268,565","251,908","140,139",22,,
,8,DCA,,MAQ,Maesot,"  12,854 ","  34,236 ","87,454","96,342","144,607","174,627","180,106","192,809","197,232","77,503",25,,
,9,DCA,,PPH,Phrae ,"  3,494 ","  9,051 ","13,622","23,851","50,114","72,122","81,027","88,878","70,085","34,947",26,,
,10,DCA,,HGN,Maehongson Airport,"  55,213 ","  56,614 ","54,975","34,341","39,764","55,368","60,934","63,328","54,811","17,768",28,,
,11,DCA,,PYY,Pai Airport,"  5,014 ","  3,859 ","3,596","4,342","5,481","6,046","2,110","1,767","1,032",0,29,"  9,023,613 ",North
,12,AOT,South,HKT,Phuket International Airport,"8,206,405","  9,161,005 ","10,979,537","11,275,805","12,538,042","15,107,185","16,230,816","18,260,833","17,885,472","9,090,957",3,,
,13,AOT,,HDY,Hat Yai International Airport,"1,834,568","  2,013,243 ","2,465,370","2,944,259","3,568,093","4,004,665","4,346,670","4,265,721","3,983,935","2,478,233",5,,
,14,DCA,,KBV,Krabi,"  988,977 ","  1,189,980 ","1,668,352","2,700,095","3,689,831","4,079,882","4,342,272","4,192,754","3,641,847","1,318,568",9,,
,15,DCA,,URT,Surathani ,"  595,184 ","  816,484 ","1,081,399","1,338,871","1,856,320","2,026,216","2,250,913","2,112,399","1,852,414","1,087,453",11,,
,16,DCA,,NST,Nakhon Si Thammarat,"  654,956 ","  725,858 ","950,133","1,112,849","1,243,179","1,503,451","1,475,818","1,489,786","1,472,620","1,340,407",8,,
,17,DCA,,TST,Trang,"  253,077 ","  374,533 ","504,476","529,310","612,629","648,979","799,279","690,208","678,723","488,338",13,,
,18,DCA,,NAW,Narathiwat ,"  116,478 ","  104,612 ","111,891","117,951","162,413","241,721","259,378","232,243","237,683","149,049",21,,
,19,DCA,,CJM,Chunporn,"  5,366 ","  11,059 ","47,592","56,875","93,566","93,703","87,707","163,811","192,165","101,087",24,,
,20,DCA,,HHQ,Huahin ,0,  775 ,"8,241","11,530","11,470","11,953","2,782","34,527","88,031","30,863",27,,
,21,DCA,,UNN,Ranong ,"  3,185 ","  7,406 ","30,387","63,761","90,299","101,980","121,484","214,250","205,485","107,034",23,,
,22,Bangkok Airway,,USM,Samui,0,0,0,0,"2,153,723","2,540,912","2,611,210","1,325,251","865,907",0,29,"  16,191,989 ",South
,23,DCA,Northeast,UTH,Udonthani ,"  1,011,881 ","  1,184,449 ","1,325,306","834,873","2,213,689","2,333,603","2,602,509","2,650,301","2,507,864","1,410,139",7,,
,24,DCA,,UBP,Ubonratchathani ,"  614,686 ","  733,893 ","836,009","1,078,535","1,466,007","1,724,687","1,791,998","1,832,731","1,785,572","1,063,105",12,,
,25,DCA,,KKC,Khonkaen,"  456,119 ","  523,305 ","594,094","957,031","1,280,299","1,499,562","1,706,601","1,830,161","1,884,582","1,123,966",10,,
,26,DCA,,SNO,Sakonnakhon ,"  39,536 ","  97,422 ","109,259","199,502","425,453","347,351","384,069","383,004","387,368","257,684",16,,
,27,DCA,,KOP,Nakhon Phanom ,"  33,107 ","  143,775 ","197,559","220,060","298,013","372,026","419,320","434,639","361,274","220,455",17,,
,28,DCA,,ROI,Roiet ,"  15,798 ","  38,501 ","60,588","69,932","284,667","334,955","395,969","430,701","381,988","212,168",18,,
,29,DCA,,LOE,Loei ,"  10,304 ","  22,451 ","41,870","55,478","234,938","261,911","270,589","261,778","262,709","158,227",20,,
,30,DCA,,BFV,Buriram,"  8,207 ","  4,547 ","11,355","17,606","117,762","198,052","220,869","338,271","355,577","180,986",19,,
,31,DCA,,NAK,Nakhon RatChasima,  552 ,  186 ,0,0,"3,165",89,"6,976","10,709",59,0,29,"  4,626,730 ",Northeast
,,,,,TOTAL,"71,445,938","77,933,492","94,275,339","97,805,835","124,427,948","141,083,295","150,501,807","159,866,856","159,692,056","82,843,384",,,
,,** ไม่รวมข้อมูล passenger สนามบินเพชรบูรณ์ ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
,,,,,Traffic Growth (Pax),"71,445,938","77,933,492","94,275,339","97,805,835","124,427,948","141,083,295","150,501,807","159,866,856","159,692,056","82,843,384",AVG. Growth (2015-2019),,
,,,,,%change ,,9%,21%,4%,27%,13%,7%,6%,0%,-48%,11%,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Traffic by Region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,AVG. Growth (2015-2019),,
,,,,,BKK ,"51,773,461","55,086,125","66,463,450","65,847,198","80,973,529","90,676,778","96,262,531","103,378,381","104,825,862","53,001,052",75%,,
,,,,,North,"4,824,091","5,693,883","6,788,471","8,374,314","11,110,861","12,973,634","13,912,047","15,334,397","15,834,919","9,023,613",144%,,
,,,,,South,"12,658,196","14,404,955","17,847,378","20,151,306","26,019,565","30,360,647","32,528,329","32,981,783","31,104,282","16,191,989",126%,,
,,,,,Northeast,"  2,190,190 ","  2,748,529 ","  3,176,040 ","  3,433,017 ","  6,323,993 ","  7,072,236 ","  7,798,900 ","  8,172,295 ","  7,926,993 ","  4,626,730 ",184%,,
,,,,,Total,"71,445,938","77,933,492","94,275,339","97,805,835","124,427,948","141,083,295","150,501,807","159,866,856","159,692,056","82,843,384",93%,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Share by Region (year 2020),,,,,,,,,,,,,
,,,,,BKK ,"  53,001,052 ",,,,,,,,,,,,
,,,,,North,"  9,023,613 ",,,,,,,,,,,,
,,,,,South,"  16,191,989 ",,,,,,,,,,,,
,,,,,Northeast,"  4,626,730 ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
